Type,Config_ID,Seed,Energy_eV_atom
Ordered_L12,0,N/A,-4.945260981
Disordered_Random,1,100,-4.784300716
Disordered_Random,2,101,-4.794270700
Disordered_Random,3,102,-4.775599805
Disordered_Random,4,103,-4.731397489
Disordered_Random,5,104,-4.793541422
Disordered_Random,6,105,-4.792363634
Disordered_Random,7,106,-4.789536025
Disordered_Random,8,107,-4.718488047
Disordered_Random,9,108,-4.786159768
Disordered_Random,10,109,-4.818996859
Disordered_Random,11,110,-4.799083092
Disordered_Random,12,111,-4.785515764
Disordered_Random,13,112,-4.787233790
Disordered_Random,14,113,-4.770675355
Disordered_Random,15,114,-4.789262606
Disordered_Random,16,115,-4.783297414
Disordered_Random,17,116,-4.790673602
Disordered_Random,18,117,-4.768925296
Disordered_Random,19,118,-4.786541540
Disordered_Random,20,119,-4.754574572
Disordered_Random,21,120,-4.841022066
Disordered_Random,22,121,-4.776986019
Disordered_Random,23,122,-4.773934481
Disordered_Random,24,123,-4.782255197
Disordered_Random,25,124,-4.763375224
Disordered_Random,26,125,-4.780410291
Disordered_Random,27,126,-4.786924904
Disordered_Random,28,127,-4.751528615
Disordered_Random,29,128,-4.754759503
Disordered_Random,30,129,-4.757778881
