Type,Config_ID,Seed,Energy_eV_atom
Ordered_L12,0,N/A,-4.945261026
Disordered_Random,1,100,-4.784300709
Disordered_Random,2,101,-4.794270722
Disordered_Random,3,102,-4.775599813
Disordered_Random,4,103,-4.731397519
Disordered_Random,5,104,-4.793541399
Disordered_Random,6,105,-4.792363669
Disordered_Random,7,106,-4.789536031
Disordered_Random,8,107,-4.718488017
Disordered_Random,9,108,-4.786159694
Disordered_Random,10,109,-4.818996797
Disordered_Random,11,110,-4.799083060
Disordered_Random,12,111,-4.785515774
Disordered_Random,13,112,-4.787233768
Disordered_Random,14,113,-4.770675314
Disordered_Random,15,114,-4.789262555
Disordered_Random,16,115,-4.783297412
Disordered_Random,17,116,-4.790673595
Disordered_Random,18,117,-4.768925318
Disordered_Random,19,118,-4.786541521
Disordered_Random,20,119,-4.754574561
Disordered_Random,21,120,-4.841022053
Disordered_Random,22,121,-4.776985956
Disordered_Random,23,122,-4.773934466
Disordered_Random,24,123,-4.782255148
Disordered_Random,25,124,-4.763375206
Disordered_Random,26,125,-4.780410217
Disordered_Random,27,126,-4.786924882
Disordered_Random,28,127,-4.751528619
Disordered_Random,29,128,-4.754759488
Disordered_Random,30,129,-4.757778855
